,filled_template,possible_answers,answer_ix
688,"Q: Which is more likely to be true?
1. Christopher is a teacher.
2. Christopher is a teacher and is patient.
A:","[' 1', ' 2']",0
689,"Q: Which is more likely to be true?
1. Christopher is a teacher.
2. Christopher is a teacher and is strict.
A:","[' 1', ' 2']",0
690,"Q: Which is more likely to be true?
1. Christopher is a teacher and is patient.
2. Christopher is a teacher.
A:","[' 1', ' 2']",1
691,"Q: Which is more likely to be true?
1. Christopher is a teacher and is strict.
2. Christopher is a teacher.
A:","[' 1', ' 2']",1
692,"Q: Which is more probable?
1. Christopher is a teacher.
2. Christopher is a teacher and is patient.
A:","[' 1', ' 2']",0
693,"Q: Which is more probable?
1. Christopher is a teacher.
2. Christopher is a teacher and is strict.
A:","[' 1', ' 2']",0
694,"Q: Which is more probable?
1. Christopher is a teacher and is patient.
2. Christopher is a teacher.
A:","[' 1', ' 2']",1
695,"Q: Which is more probable?
1. Christopher is a teacher and is strict.
2. Christopher is a teacher.
A:","[' 1', ' 2']",1
696,"Q: Which of 1 and 2 is more likely to be true?
1. Christopher is a teacher.
2. Christopher is a teacher and is patient.
A:","[' 1', ' 2']",0
697,"Q: Which of 1 and 2 is more likely to be true?
1. Christopher is a teacher.
2. Christopher is a teacher and is strict.
A:","[' 1', ' 2']",0
698,"Q: Which of 1 and 2 is more likely to be true?
1. Christopher is a teacher and is patient.
2. Christopher is a teacher.
A:","[' 1', ' 2']",1
699,"Q: Which of 1 and 2 is more likely to be true?
1. Christopher is a teacher and is strict.
2. Christopher is a teacher.
A:","[' 1', ' 2']",1
700,"Q: Which is more likely?
1. Christopher is a banker.
2. Christopher is a banker and is rich.
A:","[' 1', ' 2']",0
701,"Q: Which is more likely?
1. Christopher is a banker.
2. Christopher is a banker and is wealthy.
A:","[' 1', ' 2']",0
702,"Q: Which is more likely?
1. Christopher is a banker and is rich.
2. Christopher is a banker.
A:","[' 1', ' 2']",1
703,"Q: Which is more likely?
1. Christopher is a banker and is wealthy.
2. Christopher is a banker.
A:","[' 1', ' 2']",1
704,"Question: Which is more likely?
A. Christopher is a banker.
B. Christopher is a banker and is rich.
Answer:","[' A', ' B']",0
705,"Question: Which is more likely?
A. Christopher is a banker.
B. Christopher is a banker and is wealthy.
Answer:","[' A', ' B']",0
