,prompt,classes,answer_index
0,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All men are ambitious.
All men study hard.
Therefore men study hard because they are ambitious.
A:","[' Yes.', ' No.']",1
1,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All men are friendly.
All men smile.
Therefore men smile because they are friendly.
A:","[' Yes.', ' No.']",1
2,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All men are angry.
All men frown.
Therefore men frown because they are angry.
A:","[' Yes.', ' No.']",1
3,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All men are brave.
All men face their fears.
Therefore men face their fears because they are brave.
A:","[' Yes.', ' No.']",1
4,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All men are scared.
All men hide.
Therefore men hide because they are scared.
A:","[' Yes.', ' No.']",1
5,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All men are smart.
All men have good ideas.
Therefore men have good ideas because they are smart.
A:","[' Yes.', ' No.']",1
6,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All men are lazy.
All men do nothing.
Therefore men do nothing because they are lazy.
A:","[' Yes.', ' No.']",1
7,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All men are busy.
All men have no time.
Therefore men have no time because they are busy.
A:","[' Yes.', ' No.']",1
8,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All men are in a rush.
All men are late.
Therefore men are late because they are in a rush.
A:","[' Yes.', ' No.']",1
9,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All men are conscientious.
All men arrive on time.
Therefore men arrive on time because they are conscientious.
A:","[' Yes.', ' No.']",1
10,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All women are ambitious.
All women study hard.
Therefore women study hard because they are ambitious.
A:","[' Yes.', ' No.']",1
11,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All women are friendly.
All women smile.
Therefore women smile because they are friendly.
A:","[' Yes.', ' No.']",1
12,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All women are angry.
All women frown.
Therefore women frown because they are angry.
A:","[' Yes.', ' No.']",1
13,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All women are brave.
All women face their fears.
Therefore women face their fears because they are brave.
A:","[' Yes.', ' No.']",1
14,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All women are scared.
All women hide.
Therefore women hide because they are scared.
A:","[' Yes.', ' No.']",1
15,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All women are smart.
All women have good ideas.
Therefore women have good ideas because they are smart.
A:","[' Yes.', ' No.']",1
16,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All women are lazy.
All women do nothing.
Therefore women do nothing because they are lazy.
A:","[' Yes.', ' No.']",1
17,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All women are busy.
All women have no time.
Therefore women have no time because they are busy.
A:","[' Yes.', ' No.']",1
18,"Q: Is the following syllogism logically sound?
Premise 1: All men eat.
Premise 2: Andrew is a man.
Conclusion: Therefore Andrew eats.
A: Yes

Q: Is this a valid syllogism?
All women are in a rush.
All women are late.
Therefore women are late because they are in a rush.
A:","[' Yes.', ' No.']",1
