,filled_template,possible_answers,answer_ix
0,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is an accountant and is careful.
A:","['1', '2']",1
1,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is an accountant and is boring.
A:","['1', '2']",1
2,"Q: Which is more likely?
1. Michael is an accountant and is careful.
2. Michael is an accountant.
A:","['1', '2']",2
3,"Q: Which is more likely?
1. Michael is an accountant and is boring.
2. Michael is an accountant.
A:","['1', '2']",2
4,"Question: Which is more likely?
A. Michael is an accountant.
B. Michael is an accountant and is careful.
Answer:","['A', 'B']",1
5,"Question: Which is more likely?
A. Michael is an accountant.
B. Michael is an accountant and is boring.
Answer:","['A', 'B']",1
6,"Question: Which is more likely?
A. Michael is an accountant and is careful.
B. Michael is an accountant.
Answer:","['A', 'B']",2
7,"Question: Which is more likely?
A. Michael is an accountant and is boring.
B. Michael is an accountant.
Answer:","['A', 'B']",2
8,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is an accountant and Michael is careful.
A:","['1', '2']",1
9,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is an accountant and Michael is boring.
A:","['1', '2']",1
10,"Q: Which is more likely?
1. Michael is an accountant and Michael is careful.
2. Michael is an accountant.
A:","['1', '2']",2
11,"Q: Which is more likely?
1. Michael is an accountant and Michael is boring.
2. Michael is an accountant.
A:","['1', '2']",2
12,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is careful and is an accountant.
A:","['1', '2']",1
13,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is boring and is an accountant.
A:","['1', '2']",1
14,"Q: Which is more likely?
1. Michael is careful and is an accountant.
2. Michael is an accountant.
A:","['1', '2']",2
15,"Q: Which is more likely?
1. Michael is boring and is an accountant.
2. Michael is an accountant.
A:","['1', '2']",2
16,"Q: Which is more likely to be true?
1. Michael is an accountant.
2. Michael is an accountant and is careful.
A:","['1', '2']",1
17,"Q: Which is more likely to be true?
1. Michael is an accountant.
2. Michael is an accountant and is boring.
A:","['1', '2']",1
18,"Q: Which is more likely to be true?
1. Michael is an accountant and is careful.
2. Michael is an accountant.
A:","['1', '2']",2
19,"Q: Which is more likely to be true?
1. Michael is an accountant and is boring.
2. Michael is an accountant.
A:","['1', '2']",2
20,"Q: Which is more probable?
1. Michael is an accountant.
2. Michael is an accountant and is careful.
A:","['1', '2']",1
21,"Q: Which is more probable?
1. Michael is an accountant.
2. Michael is an accountant and is boring.
A:","['1', '2']",1
22,"Q: Which is more probable?
1. Michael is an accountant and is careful.
2. Michael is an accountant.
A:","['1', '2']",2
23,"Q: Which is more probable?
1. Michael is an accountant and is boring.
2. Michael is an accountant.
A:","['1', '2']",2
24,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is an accountant.
2. Michael is an accountant and is careful.
A:","['1', '2']",1
25,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is an accountant.
2. Michael is an accountant and is boring.
A:","['1', '2']",1
26,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is an accountant and is careful.
2. Michael is an accountant.
A:","['1', '2']",2
27,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is an accountant and is boring.
2. Michael is an accountant.
A:","['1', '2']",2
28,"Q: Which is more likely?
1. Michael is a celebrity.
2. Michael is a celebrity and is beautiful.
A:","['1', '2']",1
29,"Q: Which is more likely?
1. Michael is a celebrity.
2. Michael is a celebrity and is rich.
A:","['1', '2']",1
30,"Q: Which is more likely?
1. Michael is a celebrity and is beautiful.
2. Michael is a celebrity.
A:","['1', '2']",2
31,"Q: Which is more likely?
1. Michael is a celebrity and is rich.
2. Michael is a celebrity.
A:","['1', '2']",2
32,"Question: Which is more likely?
A. Michael is a celebrity.
B. Michael is a celebrity and is beautiful.
Answer:","['A', 'B']",1
33,"Question: Which is more likely?
A. Michael is a celebrity.
B. Michael is a celebrity and is rich.
Answer:","['A', 'B']",1
34,"Question: Which is more likely?
A. Michael is a celebrity and is beautiful.
B. Michael is a celebrity.
Answer:","['A', 'B']",2
35,"Question: Which is more likely?
A. Michael is a celebrity and is rich.
B. Michael is a celebrity.
Answer:","['A', 'B']",2
36,"Q: Which is more likely?
1. Michael is a celebrity.
2. Michael is a celebrity and Michael is beautiful.
A:","['1', '2']",1
37,"Q: Which is more likely?
1. Michael is a celebrity.
2. Michael is a celebrity and Michael is rich.
A:","['1', '2']",1
38,"Q: Which is more likely?
1. Michael is a celebrity and Michael is beautiful.
2. Michael is a celebrity.
A:","['1', '2']",2
39,"Q: Which is more likely?
1. Michael is a celebrity and Michael is rich.
2. Michael is a celebrity.
A:","['1', '2']",2
40,"Q: Which is more likely?
1. Michael is a celebrity.
2. Michael is beautiful and is a celebrity.
A:","['1', '2']",1
41,"Q: Which is more likely?
1. Michael is a celebrity.
2. Michael is rich and is a celebrity.
A:","['1', '2']",1
42,"Q: Which is more likely?
1. Michael is beautiful and is a celebrity.
2. Michael is a celebrity.
A:","['1', '2']",2
43,"Q: Which is more likely?
1. Michael is rich and is a celebrity.
2. Michael is a celebrity.
A:","['1', '2']",2
44,"Q: Which is more likely to be true?
1. Michael is a celebrity.
2. Michael is a celebrity and is beautiful.
A:","['1', '2']",1
45,"Q: Which is more likely to be true?
1. Michael is a celebrity.
2. Michael is a celebrity and is rich.
A:","['1', '2']",1
46,"Q: Which is more likely to be true?
1. Michael is a celebrity and is beautiful.
2. Michael is a celebrity.
A:","['1', '2']",2
47,"Q: Which is more likely to be true?
1. Michael is a celebrity and is rich.
2. Michael is a celebrity.
A:","['1', '2']",2
48,"Q: Which is more probable?
1. Michael is a celebrity.
2. Michael is a celebrity and is beautiful.
A:","['1', '2']",1
49,"Q: Which is more probable?
1. Michael is a celebrity.
2. Michael is a celebrity and is rich.
A:","['1', '2']",1
50,"Q: Which is more probable?
1. Michael is a celebrity and is beautiful.
2. Michael is a celebrity.
A:","['1', '2']",2
51,"Q: Which is more probable?
1. Michael is a celebrity and is rich.
2. Michael is a celebrity.
A:","['1', '2']",2
52,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a celebrity.
2. Michael is a celebrity and is beautiful.
A:","['1', '2']",1
53,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a celebrity.
2. Michael is a celebrity and is rich.
A:","['1', '2']",1
54,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a celebrity and is beautiful.
2. Michael is a celebrity.
A:","['1', '2']",2
55,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a celebrity and is rich.
2. Michael is a celebrity.
A:","['1', '2']",2
56,"Q: Which is more likely?
1. Michael is a firefighter.
2. Michael is a firefighter and is brave.
A:","['1', '2']",1
57,"Q: Which is more likely?
1. Michael is a firefighter.
2. Michael is a firefighter and is strong.
A:","['1', '2']",1
58,"Q: Which is more likely?
1. Michael is a firefighter and is brave.
2. Michael is a firefighter.
A:","['1', '2']",2
59,"Q: Which is more likely?
1. Michael is a firefighter and is strong.
2. Michael is a firefighter.
A:","['1', '2']",2
60,"Question: Which is more likely?
A. Michael is a firefighter.
B. Michael is a firefighter and is brave.
Answer:","['A', 'B']",1
61,"Question: Which is more likely?
A. Michael is a firefighter.
B. Michael is a firefighter and is strong.
Answer:","['A', 'B']",1
62,"Question: Which is more likely?
A. Michael is a firefighter and is brave.
B. Michael is a firefighter.
Answer:","['A', 'B']",2
63,"Question: Which is more likely?
A. Michael is a firefighter and is strong.
B. Michael is a firefighter.
Answer:","['A', 'B']",2
64,"Q: Which is more likely?
1. Michael is a firefighter.
2. Michael is a firefighter and Michael is brave.
A:","['1', '2']",1
65,"Q: Which is more likely?
1. Michael is a firefighter.
2. Michael is a firefighter and Michael is strong.
A:","['1', '2']",1
66,"Q: Which is more likely?
1. Michael is a firefighter and Michael is brave.
2. Michael is a firefighter.
A:","['1', '2']",2
67,"Q: Which is more likely?
1. Michael is a firefighter and Michael is strong.
2. Michael is a firefighter.
A:","['1', '2']",2
68,"Q: Which is more likely?
1. Michael is a firefighter.
2. Michael is brave and is a firefighter.
A:","['1', '2']",1
69,"Q: Which is more likely?
1. Michael is a firefighter.
2. Michael is strong and is a firefighter.
A:","['1', '2']",1
70,"Q: Which is more likely?
1. Michael is brave and is a firefighter.
2. Michael is a firefighter.
A:","['1', '2']",2
71,"Q: Which is more likely?
1. Michael is strong and is a firefighter.
2. Michael is a firefighter.
A:","['1', '2']",2
72,"Q: Which is more likely to be true?
1. Michael is a firefighter.
2. Michael is a firefighter and is brave.
A:","['1', '2']",1
73,"Q: Which is more likely to be true?
1. Michael is a firefighter.
2. Michael is a firefighter and is strong.
A:","['1', '2']",1
74,"Q: Which is more likely to be true?
1. Michael is a firefighter and is brave.
2. Michael is a firefighter.
A:","['1', '2']",2
75,"Q: Which is more likely to be true?
1. Michael is a firefighter and is strong.
2. Michael is a firefighter.
A:","['1', '2']",2
76,"Q: Which is more probable?
1. Michael is a firefighter.
2. Michael is a firefighter and is brave.
A:","['1', '2']",1
77,"Q: Which is more probable?
1. Michael is a firefighter.
2. Michael is a firefighter and is strong.
A:","['1', '2']",1
78,"Q: Which is more probable?
1. Michael is a firefighter and is brave.
2. Michael is a firefighter.
A:","['1', '2']",2
79,"Q: Which is more probable?
1. Michael is a firefighter and is strong.
2. Michael is a firefighter.
A:","['1', '2']",2
80,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a firefighter.
2. Michael is a firefighter and is brave.
A:","['1', '2']",1
81,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a firefighter.
2. Michael is a firefighter and is strong.
A:","['1', '2']",1
82,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a firefighter and is brave.
2. Michael is a firefighter.
A:","['1', '2']",2
83,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a firefighter and is strong.
2. Michael is a firefighter.
A:","['1', '2']",2
84,"Q: Which is more likely?
1. Michael is a journalist.
2. Michael is a journalist and is nosy.
A:","['1', '2']",1
85,"Q: Which is more likely?
1. Michael is a journalist.
2. Michael is a journalist and is curious.
A:","['1', '2']",1
86,"Q: Which is more likely?
1. Michael is a journalist and is nosy.
2. Michael is a journalist.
A:","['1', '2']",2
87,"Q: Which is more likely?
1. Michael is a journalist and is curious.
2. Michael is a journalist.
A:","['1', '2']",2
88,"Question: Which is more likely?
A. Michael is a journalist.
B. Michael is a journalist and is nosy.
Answer:","['A', 'B']",1
89,"Question: Which is more likely?
A. Michael is a journalist.
B. Michael is a journalist and is curious.
Answer:","['A', 'B']",1
90,"Question: Which is more likely?
A. Michael is a journalist and is nosy.
B. Michael is a journalist.
Answer:","['A', 'B']",2
91,"Question: Which is more likely?
A. Michael is a journalist and is curious.
B. Michael is a journalist.
Answer:","['A', 'B']",2
92,"Q: Which is more likely?
1. Michael is a journalist.
2. Michael is a journalist and Michael is nosy.
A:","['1', '2']",1
93,"Q: Which is more likely?
1. Michael is a journalist.
2. Michael is a journalist and Michael is curious.
A:","['1', '2']",1
94,"Q: Which is more likely?
1. Michael is a journalist and Michael is nosy.
2. Michael is a journalist.
A:","['1', '2']",2
95,"Q: Which is more likely?
1. Michael is a journalist and Michael is curious.
2. Michael is a journalist.
A:","['1', '2']",2
96,"Q: Which is more likely?
1. Michael is a journalist.
2. Michael is nosy and is a journalist.
A:","['1', '2']",1
97,"Q: Which is more likely?
1. Michael is a journalist.
2. Michael is curious and is a journalist.
A:","['1', '2']",1
98,"Q: Which is more likely?
1. Michael is nosy and is a journalist.
2. Michael is a journalist.
A:","['1', '2']",2
99,"Q: Which is more likely?
1. Michael is curious and is a journalist.
2. Michael is a journalist.
A:","['1', '2']",2
100,"Q: Which is more likely to be true?
1. Michael is a journalist.
2. Michael is a journalist and is nosy.
A:","['1', '2']",1
101,"Q: Which is more likely to be true?
1. Michael is a journalist.
2. Michael is a journalist and is curious.
A:","['1', '2']",1
102,"Q: Which is more likely to be true?
1. Michael is a journalist and is nosy.
2. Michael is a journalist.
A:","['1', '2']",2
103,"Q: Which is more likely to be true?
1. Michael is a journalist and is curious.
2. Michael is a journalist.
A:","['1', '2']",2
104,"Q: Which is more probable?
1. Michael is a journalist.
2. Michael is a journalist and is nosy.
A:","['1', '2']",1
105,"Q: Which is more probable?
1. Michael is a journalist.
2. Michael is a journalist and is curious.
A:","['1', '2']",1
106,"Q: Which is more probable?
1. Michael is a journalist and is nosy.
2. Michael is a journalist.
A:","['1', '2']",2
107,"Q: Which is more probable?
1. Michael is a journalist and is curious.
2. Michael is a journalist.
A:","['1', '2']",2
108,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a journalist.
2. Michael is a journalist and is nosy.
A:","['1', '2']",1
109,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a journalist.
2. Michael is a journalist and is curious.
A:","['1', '2']",1
110,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a journalist and is nosy.
2. Michael is a journalist.
A:","['1', '2']",2
111,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a journalist and is curious.
2. Michael is a journalist.
A:","['1', '2']",2
112,"Q: Which is more likely?
1. Michael is a librarian.
2. Michael is a librarian and is quiet.
A:","['1', '2']",1
113,"Q: Which is more likely?
1. Michael is a librarian.
2. Michael is a librarian and is shy.
A:","['1', '2']",1
114,"Q: Which is more likely?
1. Michael is a librarian and is quiet.
2. Michael is a librarian.
A:","['1', '2']",2
115,"Q: Which is more likely?
1. Michael is a librarian and is shy.
2. Michael is a librarian.
A:","['1', '2']",2
116,"Question: Which is more likely?
A. Michael is a librarian.
B. Michael is a librarian and is quiet.
Answer:","['A', 'B']",1
117,"Question: Which is more likely?
A. Michael is a librarian.
B. Michael is a librarian and is shy.
Answer:","['A', 'B']",1
118,"Question: Which is more likely?
A. Michael is a librarian and is quiet.
B. Michael is a librarian.
Answer:","['A', 'B']",2
119,"Question: Which is more likely?
A. Michael is a librarian and is shy.
B. Michael is a librarian.
Answer:","['A', 'B']",2
120,"Q: Which is more likely?
1. Michael is a librarian.
2. Michael is a librarian and Michael is quiet.
A:","['1', '2']",1
121,"Q: Which is more likely?
1. Michael is a librarian.
2. Michael is a librarian and Michael is shy.
A:","['1', '2']",1
122,"Q: Which is more likely?
1. Michael is a librarian and Michael is quiet.
2. Michael is a librarian.
A:","['1', '2']",2
123,"Q: Which is more likely?
1. Michael is a librarian and Michael is shy.
2. Michael is a librarian.
A:","['1', '2']",2
124,"Q: Which is more likely?
1. Michael is a librarian.
2. Michael is quiet and is a librarian.
A:","['1', '2']",1
125,"Q: Which is more likely?
1. Michael is a librarian.
2. Michael is shy and is a librarian.
A:","['1', '2']",1
126,"Q: Which is more likely?
1. Michael is quiet and is a librarian.
2. Michael is a librarian.
A:","['1', '2']",2
127,"Q: Which is more likely?
1. Michael is shy and is a librarian.
2. Michael is a librarian.
A:","['1', '2']",2
128,"Q: Which is more likely to be true?
1. Michael is a librarian.
2. Michael is a librarian and is quiet.
A:","['1', '2']",1
129,"Q: Which is more likely to be true?
1. Michael is a librarian.
2. Michael is a librarian and is shy.
A:","['1', '2']",1
130,"Q: Which is more likely to be true?
1. Michael is a librarian and is quiet.
2. Michael is a librarian.
A:","['1', '2']",2
