,prompt,classes,answer_index
0,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is an accountant and is careful.
A:","[' 1', ' 2']",0
1,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is an accountant and is boring.
A:","[' 1', ' 2']",0
2,"Q: Which is more likely?
1. Michael is an accountant and is careful.
2. Michael is an accountant.
A:","[' 1', ' 2']",1
3,"Q: Which is more likely?
1. Michael is an accountant and is boring.
2. Michael is an accountant.
A:","[' 1', ' 2']",1
4,"Question: Which is more likely?
A. Michael is an accountant.
B. Michael is an accountant and is careful.
Answer:","[' A', ' B']",0
5,"Question: Which is more likely?
A. Michael is an accountant.
B. Michael is an accountant and is boring.
Answer:","[' A', ' B']",0
6,"Question: Which is more likely?
A. Michael is an accountant and is careful.
B. Michael is an accountant.
Answer:","[' A', ' B']",1
7,"Question: Which is more likely?
A. Michael is an accountant and is boring.
B. Michael is an accountant.
Answer:","[' A', ' B']",1
8,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is an accountant and Michael is careful.
A:","[' 1', ' 2']",0
9,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is an accountant and Michael is boring.
A:","[' 1', ' 2']",0
10,"Q: Which is more likely?
1. Michael is an accountant and Michael is careful.
2. Michael is an accountant.
A:","[' 1', ' 2']",1
11,"Q: Which is more likely?
1. Michael is an accountant and Michael is boring.
2. Michael is an accountant.
A:","[' 1', ' 2']",1
12,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is careful and is an accountant.
A:","[' 1', ' 2']",0
13,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is boring and is an accountant.
A:","[' 1', ' 2']",0
14,"Q: Which is more likely?
1. Michael is careful and is an accountant.
2. Michael is an accountant.
A:","[' 1', ' 2']",1
15,"Q: Which is more likely?
1. Michael is boring and is an accountant.
2. Michael is an accountant.
A:","[' 1', ' 2']",1
16,"Q: Which is more likely to be true?
1. Michael is an accountant.
2. Michael is an accountant and is careful.
A:","[' 1', ' 2']",0
17,"Q: Which is more likely to be true?
1. Michael is an accountant.
2. Michael is an accountant and is boring.
A:","[' 1', ' 2']",0
18,"Q: Which is more likely to be true?
1. Michael is an accountant and is careful.
2. Michael is an accountant.
A:","[' 1', ' 2']",1
19,"Q: Which is more likely to be true?
1. Michael is an accountant and is boring.
2. Michael is an accountant.
A:","[' 1', ' 2']",1
20,"Q: Which is more probable?
1. Michael is an accountant.
2. Michael is an accountant and is careful.
A:","[' 1', ' 2']",0
21,"Q: Which is more probable?
1. Michael is an accountant.
2. Michael is an accountant and is boring.
A:","[' 1', ' 2']",0
22,"Q: Which is more probable?
1. Michael is an accountant and is careful.
2. Michael is an accountant.
A:","[' 1', ' 2']",1
23,"Q: Which is more probable?
1. Michael is an accountant and is boring.
2. Michael is an accountant.
A:","[' 1', ' 2']",1
24,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is an accountant.
2. Michael is an accountant and is careful.
A:","[' 1', ' 2']",0
25,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is an accountant.
2. Michael is an accountant and is boring.
A:","[' 1', ' 2']",0
26,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is an accountant and is careful.
2. Michael is an accountant.
A:","[' 1', ' 2']",1
27,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is an accountant and is boring.
2. Michael is an accountant.
A:","[' 1', ' 2']",1
28,"Q: Which is more likely?
1. Michael is a celebrity.
2. Michael is a celebrity and is beautiful.
A:","[' 1', ' 2']",0
29,"Q: Which is more likely?
1. Michael is a celebrity.
2. Michael is a celebrity and is rich.
A:","[' 1', ' 2']",0
30,"Q: Which is more likely?
1. Michael is a celebrity and is beautiful.
2. Michael is a celebrity.
A:","[' 1', ' 2']",1
31,"Q: Which is more likely?
1. Michael is a celebrity and is rich.
2. Michael is a celebrity.
A:","[' 1', ' 2']",1
32,"Question: Which is more likely?
A. Michael is a celebrity.
B. Michael is a celebrity and is beautiful.
Answer:","[' A', ' B']",0
33,"Question: Which is more likely?
A. Michael is a celebrity.
B. Michael is a celebrity and is rich.
Answer:","[' A', ' B']",0
34,"Question: Which is more likely?
A. Michael is a celebrity and is beautiful.
B. Michael is a celebrity.
Answer:","[' A', ' B']",1
35,"Question: Which is more likely?
A. Michael is a celebrity and is rich.
B. Michael is a celebrity.
Answer:","[' A', ' B']",1
36,"Q: Which is more likely?
1. Michael is a celebrity.
2. Michael is a celebrity and Michael is beautiful.
A:","[' 1', ' 2']",0
37,"Q: Which is more likely?
1. Michael is a celebrity.
2. Michael is a celebrity and Michael is rich.
A:","[' 1', ' 2']",0
38,"Q: Which is more likely?
1. Michael is a celebrity and Michael is beautiful.
2. Michael is a celebrity.
A:","[' 1', ' 2']",1
39,"Q: Which is more likely?
1. Michael is a celebrity and Michael is rich.
2. Michael is a celebrity.
A:","[' 1', ' 2']",1
40,"Q: Which is more likely?
1. Michael is a celebrity.
2. Michael is beautiful and is a celebrity.
A:","[' 1', ' 2']",0
41,"Q: Which is more likely?
1. Michael is a celebrity.
2. Michael is rich and is a celebrity.
A:","[' 1', ' 2']",0
42,"Q: Which is more likely?
1. Michael is beautiful and is a celebrity.
2. Michael is a celebrity.
A:","[' 1', ' 2']",1
43,"Q: Which is more likely?
1. Michael is rich and is a celebrity.
2. Michael is a celebrity.
A:","[' 1', ' 2']",1
44,"Q: Which is more likely to be true?
1. Michael is a celebrity.
2. Michael is a celebrity and is beautiful.
A:","[' 1', ' 2']",0
45,"Q: Which is more likely to be true?
1. Michael is a celebrity.
2. Michael is a celebrity and is rich.
A:","[' 1', ' 2']",0
46,"Q: Which is more likely to be true?
1. Michael is a celebrity and is beautiful.
2. Michael is a celebrity.
A:","[' 1', ' 2']",1
47,"Q: Which is more likely to be true?
1. Michael is a celebrity and is rich.
2. Michael is a celebrity.
A:","[' 1', ' 2']",1
48,"Q: Which is more probable?
1. Michael is a celebrity.
2. Michael is a celebrity and is beautiful.
A:","[' 1', ' 2']",0
49,"Q: Which is more probable?
1. Michael is a celebrity.
2. Michael is a celebrity and is rich.
A:","[' 1', ' 2']",0
50,"Q: Which is more probable?
1. Michael is a celebrity and is beautiful.
2. Michael is a celebrity.
A:","[' 1', ' 2']",1
51,"Q: Which is more probable?
1. Michael is a celebrity and is rich.
2. Michael is a celebrity.
A:","[' 1', ' 2']",1
52,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a celebrity.
2. Michael is a celebrity and is beautiful.
A:","[' 1', ' 2']",0
53,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a celebrity.
2. Michael is a celebrity and is rich.
A:","[' 1', ' 2']",0
54,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a celebrity and is beautiful.
2. Michael is a celebrity.
A:","[' 1', ' 2']",1
55,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a celebrity and is rich.
2. Michael is a celebrity.
A:","[' 1', ' 2']",1
56,"Q: Which is more likely?
1. Michael is a firefighter.
2. Michael is a firefighter and is brave.
A:","[' 1', ' 2']",0
57,"Q: Which is more likely?
1. Michael is a firefighter.
2. Michael is a firefighter and is strong.
A:","[' 1', ' 2']",0
58,"Q: Which is more likely?
1. Michael is a firefighter and is brave.
2. Michael is a firefighter.
A:","[' 1', ' 2']",1
59,"Q: Which is more likely?
1. Michael is a firefighter and is strong.
2. Michael is a firefighter.
A:","[' 1', ' 2']",1
60,"Question: Which is more likely?
A. Michael is a firefighter.
B. Michael is a firefighter and is brave.
Answer:","[' A', ' B']",0
61,"Question: Which is more likely?
A. Michael is a firefighter.
B. Michael is a firefighter and is strong.
Answer:","[' A', ' B']",0
62,"Question: Which is more likely?
A. Michael is a firefighter and is brave.
B. Michael is a firefighter.
Answer:","[' A', ' B']",1
63,"Question: Which is more likely?
A. Michael is a firefighter and is strong.
B. Michael is a firefighter.
Answer:","[' A', ' B']",1
64,"Q: Which is more likely?
1. Michael is a firefighter.
2. Michael is a firefighter and Michael is brave.
A:","[' 1', ' 2']",0
65,"Q: Which is more likely?
1. Michael is a firefighter.
2. Michael is a firefighter and Michael is strong.
A:","[' 1', ' 2']",0
66,"Q: Which is more likely?
1. Michael is a firefighter and Michael is brave.
2. Michael is a firefighter.
A:","[' 1', ' 2']",1
67,"Q: Which is more likely?
1. Michael is a firefighter and Michael is strong.
2. Michael is a firefighter.
A:","[' 1', ' 2']",1
68,"Q: Which is more likely?
1. Michael is a firefighter.
2. Michael is brave and is a firefighter.
A:","[' 1', ' 2']",0
69,"Q: Which is more likely?
1. Michael is a firefighter.
2. Michael is strong and is a firefighter.
A:","[' 1', ' 2']",0
70,"Q: Which is more likely?
1. Michael is brave and is a firefighter.
2. Michael is a firefighter.
A:","[' 1', ' 2']",1
71,"Q: Which is more likely?
1. Michael is strong and is a firefighter.
2. Michael is a firefighter.
A:","[' 1', ' 2']",1
72,"Q: Which is more likely to be true?
1. Michael is a firefighter.
2. Michael is a firefighter and is brave.
A:","[' 1', ' 2']",0
73,"Q: Which is more likely to be true?
1. Michael is a firefighter.
2. Michael is a firefighter and is strong.
A:","[' 1', ' 2']",0
74,"Q: Which is more likely to be true?
1. Michael is a firefighter and is brave.
2. Michael is a firefighter.
A:","[' 1', ' 2']",1
75,"Q: Which is more likely to be true?
1. Michael is a firefighter and is strong.
2. Michael is a firefighter.
A:","[' 1', ' 2']",1
76,"Q: Which is more probable?
1. Michael is a firefighter.
2. Michael is a firefighter and is brave.
A:","[' 1', ' 2']",0
77,"Q: Which is more probable?
1. Michael is a firefighter.
2. Michael is a firefighter and is strong.
A:","[' 1', ' 2']",0
78,"Q: Which is more probable?
1. Michael is a firefighter and is brave.
2. Michael is a firefighter.
A:","[' 1', ' 2']",1
79,"Q: Which is more probable?
1. Michael is a firefighter and is strong.
2. Michael is a firefighter.
A:","[' 1', ' 2']",1
80,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a firefighter.
2. Michael is a firefighter and is brave.
A:","[' 1', ' 2']",0
81,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a firefighter.
2. Michael is a firefighter and is strong.
A:","[' 1', ' 2']",0
82,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a firefighter and is brave.
2. Michael is a firefighter.
A:","[' 1', ' 2']",1
83,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a firefighter and is strong.
2. Michael is a firefighter.
A:","[' 1', ' 2']",1
84,"Q: Which is more likely?
1. Michael is a journalist.
2. Michael is a journalist and is nosy.
A:","[' 1', ' 2']",0
85,"Q: Which is more likely?
1. Michael is a journalist.
2. Michael is a journalist and is curious.
A:","[' 1', ' 2']",0
86,"Q: Which is more likely?
1. Michael is a journalist and is nosy.
2. Michael is a journalist.
A:","[' 1', ' 2']",1
87,"Q: Which is more likely?
1. Michael is a journalist and is curious.
2. Michael is a journalist.
A:","[' 1', ' 2']",1
88,"Question: Which is more likely?
A. Michael is a journalist.
B. Michael is a journalist and is nosy.
Answer:","[' A', ' B']",0
89,"Question: Which is more likely?
A. Michael is a journalist.
B. Michael is a journalist and is curious.
Answer:","[' A', ' B']",0
90,"Question: Which is more likely?
A. Michael is a journalist and is nosy.
B. Michael is a journalist.
Answer:","[' A', ' B']",1
91,"Question: Which is more likely?
A. Michael is a journalist and is curious.
B. Michael is a journalist.
Answer:","[' A', ' B']",1
92,"Q: Which is more likely?
1. Michael is a journalist.
2. Michael is a journalist and Michael is nosy.
A:","[' 1', ' 2']",0
93,"Q: Which is more likely?
1. Michael is a journalist.
2. Michael is a journalist and Michael is curious.
A:","[' 1', ' 2']",0
94,"Q: Which is more likely?
1. Michael is a journalist and Michael is nosy.
2. Michael is a journalist.
A:","[' 1', ' 2']",1
95,"Q: Which is more likely?
1. Michael is a journalist and Michael is curious.
2. Michael is a journalist.
A:","[' 1', ' 2']",1
96,"Q: Which is more likely?
1. Michael is a journalist.
2. Michael is nosy and is a journalist.
A:","[' 1', ' 2']",0
97,"Q: Which is more likely?
1. Michael is a journalist.
2. Michael is curious and is a journalist.
A:","[' 1', ' 2']",0
98,"Q: Which is more likely?
1. Michael is nosy and is a journalist.
2. Michael is a journalist.
A:","[' 1', ' 2']",1
99,"Q: Which is more likely?
1. Michael is curious and is a journalist.
2. Michael is a journalist.
A:","[' 1', ' 2']",1
