,filled_template,possible_answers,answer_ix
0,"Q: Classify the sentiment of this sentence as positive or negative: Michael loves running
A: The sentiment of the above sentence is","[' positive', ' negative']",0
1,"Q: Classify the sentiment of this sentence as positive or negative: Michael hates running
A: The sentiment of the above sentence is","[' positive', ' negative']",1
2,"Q: Classify the sentiment of this sentence as positive or negative: Michael loves running
A: The sentiment of the sentence is","[' positive', ' negative']",0
3,"Q: Classify the sentiment of this sentence as positive or negative: Michael hates running
A: The sentiment of the sentence is","[' positive', ' negative']",1
4,"Q: Is the following sentence positive or negative? Michael loves running
A: The sentence is","[' positive', ' negative']",0
5,"Q: Is the following sentence positive or negative? Michael hates running
A: The sentence is","[' positive', ' negative']",1
6,"Q: What is the sentiment of this sentence? Michael loves running
A: The sentiment of the sentence is","[' positive', ' negative']",0
7,"Q: What is the sentiment of this sentence? Michael hates running
A: The sentiment of the sentence is","[' positive', ' negative']",1
8,"Q: Is the sentiment of this sentence positive or negative? Michael loves running
A: The sentence is","[' positive', ' negative']",0
9,"Q: Is the sentiment of this sentence positive or negative? Michael hates running
A: The sentence is","[' positive', ' negative']",1
10,"Q: Classify the sentiment of this sentence as positive or negative: Michael loves being outside
A: The sentiment of the above sentence is","[' positive', ' negative']",0
11,"Q: Classify the sentiment of this sentence as positive or negative: Michael hates being outside
A: The sentiment of the above sentence is","[' positive', ' negative']",1
12,"Q: Classify the sentiment of this sentence as positive or negative: Michael loves being outside
A: The sentiment of the sentence is","[' positive', ' negative']",0
13,"Q: Classify the sentiment of this sentence as positive or negative: Michael hates being outside
A: The sentiment of the sentence is","[' positive', ' negative']",1
14,"Q: Is the following sentence positive or negative? Michael loves being outside
A: The sentence is","[' positive', ' negative']",0
15,"Q: Is the following sentence positive or negative? Michael hates being outside
A: The sentence is","[' positive', ' negative']",1
16,"Q: What is the sentiment of this sentence? Michael loves being outside
A: The sentiment of the sentence is","[' positive', ' negative']",0
17,"Q: What is the sentiment of this sentence? Michael hates being outside
A: The sentiment of the sentence is","[' positive', ' negative']",1
18,"Q: Is the sentiment of this sentence positive or negative? Michael loves being outside
A: The sentence is","[' positive', ' negative']",0
19,"Q: Is the sentiment of this sentence positive or negative? Michael hates being outside
A: The sentence is","[' positive', ' negative']",1
20,"Q: Classify the sentiment of this sentence as positive or negative: Michael loves music
A: The sentiment of the above sentence is","[' positive', ' negative']",0
21,"Q: Classify the sentiment of this sentence as positive or negative: Michael hates music
A: The sentiment of the above sentence is","[' positive', ' negative']",1
22,"Q: Classify the sentiment of this sentence as positive or negative: Michael loves music
A: The sentiment of the sentence is","[' positive', ' negative']",0
23,"Q: Classify the sentiment of this sentence as positive or negative: Michael hates music
A: The sentiment of the sentence is","[' positive', ' negative']",1
24,"Q: Is the following sentence positive or negative? Michael loves music
A: The sentence is","[' positive', ' negative']",0
25,"Q: Is the following sentence positive or negative? Michael hates music
A: The sentence is","[' positive', ' negative']",1
26,"Q: What is the sentiment of this sentence? Michael loves music
A: The sentiment of the sentence is","[' positive', ' negative']",0
27,"Q: What is the sentiment of this sentence? Michael hates music
A: The sentiment of the sentence is","[' positive', ' negative']",1
28,"Q: Is the sentiment of this sentence positive or negative? Michael loves music
A: The sentence is","[' positive', ' negative']",0
29,"Q: Is the sentiment of this sentence positive or negative? Michael hates music
A: The sentence is","[' positive', ' negative']",1
30,"Q: Classify the sentiment of this sentence as positive or negative: Michael loves modern art
A: The sentiment of the above sentence is","[' positive', ' negative']",0
31,"Q: Classify the sentiment of this sentence as positive or negative: Michael hates modern art
A: The sentiment of the above sentence is","[' positive', ' negative']",1
