,prompt,classes,answer_index
0,"This church choir sings to the masses as they sing joyous songs from the book at a church.
Question: The church has cracks in the ceiling. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",2
1,"This church choir sings to the masses as they sing joyous songs from the book at a church.
Question: The church is filled with song. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
2,"This church choir sings to the masses as they sing joyous songs from the book at a church.
Question: A choir singing at a baseball game. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
3,"A woman with a green headscarf, blue shirt and a very big grin.
Question: The woman is young. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",2
4,"A woman with a green headscarf, blue shirt and a very big grin.
Question: The woman is very happy. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
5,"A woman with a green headscarf, blue shirt and a very big grin.
Question: The woman has been shot. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
6,"An old man with a package poses in front of an advertisement.
Question: A man poses in front of an ad. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
7,"An old man with a package poses in front of an advertisement.
Question: A man poses in front of an ad for beer. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",2
8,"An old man with a package poses in front of an advertisement.
Question: A man walks by an ad. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
9,"A statue at a museum that no seems to be looking at.
Question: The statue is offensive and people are mad that it is on display. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",2
10,"A statue at a museum that no seems to be looking at.
Question: There is a statue that not many people seem to be interested in. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
11,"A statue at a museum that no seems to be looking at.
Question: Tons of people are gathered around the statue. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
12,"A land rover is being driven across a river.
Question: A Land Rover is splashing water as it crosses a river. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
13,"A land rover is being driven across a river.
Question: A vehicle is crossing a river. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
14,"A land rover is being driven across a river.
Question: A sedan is stuck in the middle of a river. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
15,"A man playing an electric guitar on stage.
Question: A man playing banjo on the floor. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
16,"A man playing an electric guitar on stage.
Question: A man playing guitar on stage. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
17,"A man playing an electric guitar on stage.
Question: A man is performing for cash. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",2
18,"A blond-haired doctor and her African american assistant looking threw new medical manuals.
Question: A doctor is looking at a book True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
19,"A blond-haired doctor and her African american assistant looking threw new medical manuals.
Question: A man is eating pb and j True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
20,"A blond-haired doctor and her African american assistant looking threw new medical manuals.
Question: A doctor is studying True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",2
21,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.
Question: A boy runs into a wall True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
22,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.
Question: A tan girl runs leans over an object True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
23,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.
Question: A man watches his daughter leap True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",2
24,"A young family enjoys feeling ocean waves lap at their feet.
Question: A young man and woman take their child to the beach for the first time. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",2
