,prompt,classes,answer_index
0,"Dana Reeve, the widow of the actor Christopher Reeve, has died of lung cancer at age 44, according to the Christopher Reeve Foundation.
Question: Christopher Reeve had an accident. True or False?
Answer:","[' True', ' False']",1
1,"Yet, we now are discovering that antibiotics are losing their effectiveness against illness. Disease-causing bacteria are mutating faster than we can come up with new antibiotics to fight the new variations.
Question: Bacteria is winning the war against antibiotics. True or False?
Answer:","[' True', ' False']",0
2,"Cairo is now home to some 15 million people - a burgeoning population that produces approximately 10,000 tonnes of rubbish per day, putting an enormous strain on public services. In the past 10 years, the government has tried hard to encourage private investment in the refuse sector, but some estimate 4,000 tonnes of waste is left behind every day, festering in the heat as it waits for someone to clear it up. It is often the people in the poorest neighbourhoods that are worst affected. But in some areas they are fighting back. In Shubra, one of the northern districts of the city, the residents have taken to the streets armed with dustpans and brushes to clean up public areas which have been used as public dumps.
Question: 15 million tonnes of rubbish are produced daily in Cairo. True or False?
Answer:","[' True', ' False']",1
3,"The Amish community in Pennsylvania, which numbers about 55,000, lives an agrarian lifestyle, shunning technological advances like electricity and automobiles. And many say their insular lifestyle gives them a sense that they are protected from the violence of American society. But as residents gathered near the school, some wearing traditional garb and arriving in horse-drawn buggies, they said that sense of safety had been shattered. ""If someone snaps and wants to do something stupid, there's no distance that's going to stop them,"" said Jake King, 56, an Amish lantern maker who knew several families whose children had been shot.
Question: Pennsylvania has the biggest Amish community in the U.S. True or False?
Answer:","[' True', ' False']",1
4,"Security forces were on high alert after an election campaign in which more than 1,000 people, including seven election candidates, have been killed.
Question: Security forces were on high alert after a campaign marred by violence. True or False?
Answer:","[' True', ' False']",0
5,"In 1979, the leaders signed the Egypt-Israel peace treaty on the White House lawn. Both President Begin and Sadat received the Nobel Peace Prize for their work. The two nations have enjoyed peaceful relations to this day.
Question: The Israel-Egypt Peace Agreement was signed in 1979. True or False?
Answer:","[' True', ' False']",0
6,"singer and actress Britney Spears, 24, has filled papers in Los Angeles County Superior Court to divorce her husband Kevin Federline, 28. A spokeswoman for the court, Kathy Roberts stated that the papers cited irreconcilable differences"" as the reason for the divorce and have, according to the courts, been legally separated as of Monday, November 6, the same day that Spears appeared on Late Night with David Letterman.
Question: Spears is to divorce from Kevin Federline. True or False?
Answer:","[' True', ' False']",0
7,"Following the successful bid to bring the 2010 Ryder Cup to Wales, the Wales Tourist Board has wasted little time in commissioning work to ensure that the benefits accruing from the event are felt throughout the country.
Question: Wales to host 2010 Ryder Cup. True or False?
Answer:","[' True', ' False']",0
8,"Steve Jobs was attacked by Sculley and other Apple executives for not delivering enough hot new products and resigned from the company a few weeks later.
Question: Steve Jobs worked for Apple. True or False?
Answer:","[' True', ' False']",0
9,"Traditionally, the Brahui of the Raisani tribe are in charge of the law and order situation through the Pass area. This tribe is still living in present day Balochistan in Pakistan.
Question: The Raisani tribe resides in Pakistan. True or False?
Answer:","[' True', ' False']",0
10,"The international humanitarian aid organization, Doctors Without Borders/Medecins Sans Frontieres (MSF), continues to treat victims of violence in all locations where it is present in Darfur.
Question: Doctors Without Borders is an international aid organization. True or False?
Answer:","[' True', ' False']",0
11,"In a bowl, whisk together the eggs and sugar until completely blended and frothy.
Question: In a bowl, whisk together the egg, sugar and vanilla until light in color. True or False?
Answer:","[' True', ' False']",1
12,"In Nigeria, by far the most populous country in sub-Saharan Africa, over 2.7 million people are infected with HIV.
Question: 2.7 percent of the people infected with HIV live in Africa. True or False?
Answer:","[' True', ' False']",1
13,"A jury is slated to decide for the first time whether Jack Kevorkian, famed as ""Dr. Death,"" has violated Michigan's assisted-suicide ban, while the state continues to grapple with the issue of what to allow when the ill want to end their pain by ending their lives.
Question: Jack Kevorkian is the real name of ""Dr. Death"". True or False?
Answer:","[' True', ' False']",0
14,"Take consumer products giant Procter and Gamble. Even with a $1.8 billion Research and Development budget, it still manages 500 active partnerships each year, many of them with small companies.
Question: Procter and Gamble spends $1.8 billion for Research and Development. True or False?
Answer:","[' True', ' False']",0
15,"Deceased U.S. soldiers and their effects were evacuated to Japan and then shipped home in refrigerated containers for interment in the U.S.
Question: The U.S. military evacuated U.S. citizens. True or False?
Answer:","[' True', ' False']",1
16,"Mice given a substance found in red wine lived longer despite a fatty diet, a study shows.
Question: Mice fed with red wine lived longer despite a fatty diet. True or False?
Answer:","[' True', ' False']",1
17,"Charles de Gaulle died in 1970 at the age of eighty. He was thus fifty years old when, as an unknown officer recently promoted to the (temporary) rank of brigadier general, he made his famous broadcast from London rejecting the capitulation of France to the Nazis after the debacle of May-June 1940.
Question: Charles de Gaulle died in 1970. True or False?
Answer:","[' True', ' False']",0
18,"Teenage sensation Wayne Rooney powered England into the quarter-finals of Euro 2004 with two goals in Monday's 4-2 defeat of Croatia and they were joined in the last eight by champions France who beat Switzerland 3-1.
Question: France participates in Euro 2004. True or False?
Answer:","[' True', ' False']",0
19,"Fujimori charged that on January 26, 1995, Ecuador fired the first shot, an allegation denied by Ecuador's leader, Sixto Duran-Ballen. Predictably, each side blamed the other for starting the 1995 conflict, just as each pointed the finger of guilt to the other for provoking the border war of 1941, when Peru took most of the 120,000 square miles in contention between the two countries.
Question: President Fujimori was re-elected in 1995. True or False?
Answer:","[' True', ' False']",1
20,"Hepburn's platinum, diamond and sapphire brooch had been estimated to fetch just $20,000, but sold for $120,000, six times its estimated price.
Question: Hepburn's diamond and sapphire brooch fetched $120,000. True or False?
Answer:","[' True', ' False']",0
21,"Huckaby voluntarily submitted herself to questioning Friday night at the Tracy police station, and was arrested less than six hours later. She now resides in the San Joaquin County Jail without bond, awaiting an arraignment hearing on Tuesday. On April 6, the body of Sandra Cantu was discovered stuffed inside the 28-year-old's suitcase at the bottom of a pond a few miles away from her home. The two were neighbors in the Orchard Estates Mobile Home Park and Huckaby's own 5-year-old daughter often played with Cantu. Autopsy results are still pending.
Question: Huckaby is accused of killing Sandra Cantu. True or False?
Answer:","[' True', ' False']",0
22,"CAMDEN, N.J. (Reuters) — Three Muslim brothers from Albania were sentenced to life in prison on Tuesday for a plot to kill American soldiers at the Fort Dix military base, which prosecutors said was inspired by the idea of holy war against the United States. The men, Dritan Duka, 30, Shain Duka, 28, and Eljvir Duka, 25, all illegal immigrants, were each sentenced to life without the possibility of parole. The three, who operated a roofing business in Cherry Hill, N.J., were among five foreign-born Muslims convicted in December of planning an attack at the base, about 40 miles east of Philadelphia. The attack was never carried out.
Question: Eljvir Duka comes from Albania. True or False?
Answer:","[' True', ' False']",0
23,"A number of the items that he auctioned off over the two day period have been seen on his reality TV show The Osbournes, which featured home life with Sharon, Ozzy and their two children. Amongst some of the higher-priced items were a carved walnut Victorian-style custom built pool table which raised $11,250, a painting from Edourad Drouot which fetched $10,500, a pair of Ozzy's famous round glasses which raised $5,250 and a dog bed given to Sharon by Elton John which sold for $2,375.
Question: The Osbournes is the name of a reality show starring Ozzy Osbourne. True or False?
Answer:","[' True', ' False']",0
24,"According to reports, a man protesting the G20 Summit in London, England has died after collapsing at a protester camp. Sky News says the man collapsed on the street inside a camp close to the Bank of England and when found he was still breathing, but efforts by paramedics to rescue him failed and he was pronounced dead at an area hospital. The name of the person and cause of death are not yet known, but several people were injured earlier in the day. It is also reported by Sky News that people threw bottles at him and authorities when they were taking him to a waiting ambulance.
Question: Sky News offices are close to the Bank of England. True or False?
Answer:","[' True', ' False']",1
25,"The San Diego Padres ace, Jake Peavy, was hurt in an 8-5 loss to the St. Louis Cardinals.
Question: The San Diego Padres won the game against the St. Louis Cardinals. True or False?
Answer:","[' True', ' False']",1
26,"Despite CNOOC's all-cash bid, Unocal said its recommendation to shareholders in favor of the $16.4 billion offer of cash and stock from Chevron remains in effect.
Question: Unocal said it would evaluate the CNOOC offer. True or False?
Answer:","[' True', ' False']",1
27,"U.S. forces have been engaged in intense fighting after insurgents launched simultaneous attacks in several Iraqi cities, including Fallujah and Baqubah.
Question: Fallujah and Baqubah are Iraqi cities. True or False?
Answer:","[' True', ' False']",0
28,"But Huawei says that expansion has not been easy - obtaining visas for its Chinese engineers to work on long-term projects in India being a particular challenge.
Question: Chinese engineers working on long-term projects in India can easily obtain visas. True or False?
Answer:","[' True', ' False']",1
29,"According to Becky Gibbons of New York State Police and Chris Collins County Executive in Erie County, New York, the total number of fatalities is 50, including 45 passengers, four crew members and a person on the ground, while a woman and daughter on the ground were injured, near the edge of farmland, about seven miles from Buffalo Niagara International Airport.
Question: A daily commuter flight crashed in Buffalo. True or False?
Answer:","[' True', ' False']",1
30,"A smaller proportion of Yugoslavia's Italians were settled in Slovenia (at the 1991 national census, some 3000 inhabitants of Slovenia declared themselves as ethnic Italians).
Question: Slovenia has 3,000 inhabitants. True or False?
Answer:","[' True', ' False']",1
31,"Eric Harris and Dylan Klebold, seniors at the suburban Denver school, detonated homemade bombs and opened fire with shotguns, a rifle and a semiautomatic handgun on April 20, 1999. They killed a teacher and 12 students and wounded 23 others before committing suicide. The massacre shocked the country like no other. It was the worst school assault in American history at that time, and it came in the wake of a half-dozen others. It played out on live television, watched by millions. And it represented the violent destruction of a cherished American idea: that schools in the suburbs and the countryside were havens of peace and safety.
Question: 13 persons were killed by two students in 1999. True or False?
Answer:","[' True', ' False']",0
32,"47-year-old Susan Boyle from Blackburn, West Lothian in Scotland, made her debut appearance on the show on Saturday night by saying that she had ""never been married, never been kissed"" and was currently unemployed, living alone at home with her cat, Pebbles. She says that she wants to ""be a professional singer"", but has ""never been given the chance."" Audience members and judges Amanda Holden, Simon Cowell and Piers Morgan, first laughed and even poked fun at her. Boyle then stunned the judges and audience, getting a standing ovation, with her performance of I Dreamed a Dream from the award winning musical performance Les Misérables. Cowell called her performance ""extraordinary"" while Morgan called it ""the biggest surprise I've had in three years of this show. I am shocked."" Holden even admitted that ""everyone was against you [Boyle]"" and that ""we were all being very cynical.""
Question: Simon Cowell fell in love with Susan Boyle. True or False?
Answer:","[' True', ' False']",1
33,"On October 1 2001, EU and other countries introduced the option for domestic animal owners to apply for Pet passports under the Pets Travel Scheme (PETS for short), for pets returning from abroad to the United Kingdom. This replaced the old system of 6 months compulsory quarantine for all domestic pets.
Question: In 2001, the EU introduced a six-month compulsory quarantine for all domestic pets. True or False?
Answer:","[' True', ' False']",1
34,"The Longest Day ever lengthens. The 25th anniversary celebration of the first Normandy landing lasted three days; the 50th will spread out over a year.
Question: 50th Anniversary of Normandy Landings lasts a year. True or False?
Answer:","[' True', ' False']",0
35,"The Qin (from which the name China is derived) established the approximate boundaries and basic administrative system that all subsequent dynasties were to follow.
Question: Qin Shi Huang was the first Chinese Emperor. True or False?
Answer:","[' True', ' False']",1
36,"Hands Across the Divide was formed in March 2001, and one of its immediate aims was to press for more freedom of contact and communication right away between the two parts of Cyprus, and for early progress towards a solution to 'the Cyprus problem'.
Question: Cyprus was divided into two parts in March 2001. True or False?
Answer:","[' True', ' False']",1
37,"The IOC meeting will also review reports submitted by the organizing committees of the 1998 Winter Olympic Games in Nagano, Japan; the 2000 Summer Olympic Games in Sydney, Australia and the 2002 Winter Olympic Games in the Salt Lake City, the United States, respectively.
Question: Before Salt Lake City, Winter Olympic Games took place in Nagano. True or False?
Answer:","[' True', ' False']",0
38,"Amazon shares fell nearly 4 percent following the results as the company said operating income would drop as much as 42 percent in the second quarter.
Question: Shares of Amazon fell 4 percent. True or False?
Answer:","[' True', ' False']",1
39,"Hodler claimed there were also irregularities in the campaigns organized by Atlanta for the 1996 Summer Games, Sydney for the Summer Olympics in 2000 and Salt Lake City for the 2002 Winter Games.
Question: Before Salt Lake City, Winter Olympic Games took place in Nagano. True or False?
Answer:","[' True', ' False']",1
40,"A compound in breast milk has been found to destroy many skin warts, raising hopes it also might prove effective against cervical cancer and other lethal diseases caused by the same virus.
Question: Breast milk may help fight cervical cancer. True or False?
Answer:","[' True', ' False']",0
41,"The plan was released by Mr Dean on behalf of the Secretary of Health and Human Services, Tommy Thompson, still recovering from a recent accident, at a Secretarial Summit on Health Information Technology that was attended by many of the nation's leaders in electronic health records.
Question: Mr Dean is the Secretary of Health and Human Services. True or False?
Answer:","[' True', ' False']",1
42,"Alice Cooper, a founder of the shock rock genre, and infamous for his gory stage shows, is setting up a Christian center for at-risk youths in Phoenix. Cooper, who has been a born again Christian for over 20 years, has already raised US$2 million for the center via his charity, the Solid Rock Foundation, founded by Cooper in 1995. ""The Rock"", as the center will be called, is expected to cost $7.3 million, and Cooper hopes that construction work will begin on the site, currently a grassy area near the Grand Canyon University, by November.
Question: Alice Cooper is a Christian. True or False?
Answer:","[' True', ' False']",0
43,"Pibul Songgram was the pro-Japanese military dictator of Thailand during World War 2.
Question: Pibul was the dictator of Thailand. True or False?
Answer:","[' True', ' False']",0
44,"As spacecraft commander for Apollo XI, the first manned lunar landing mission, Armstrong was the first man to walk on the Moon. ""That's one small step for a man, one giant leap for mankind."" With these historic words, man's dream of the ages was fulfilled.
Question: Neil Armstrong was the first man who landed on the Moon. True or False?
Answer:","[' True', ' False']",0
45,"Weber worked for WABC for 12 years, appearing on such shows as Curtis and Kuby, giving news updates for listeners at the top and bottom of every hour. After he was laid off by the station last year due to a change in programing, he was working as a freelance reporter for ABC News Radio, a national network. In his career before WABC, he worked for KTLK and KMPC, located in Los Angeles, California and KGO in San Fransisco, California.
Question: KTLK is located in San Francisco. True or False?
Answer:","[' True', ' False']",1
46,"Russian cosmonaut Valery Polyakov set the record for the longest continuous amount of time spent in space, a staggering 438 days, between 1994 and 1995.
Question: Russians hold record for longest stay in space. True or False?
Answer:","[' True', ' False']",0
47,"The harvest of sea-weeds is not allowed in the Puget Sound because of marine vegetation's vital role in providing habitat to important species.
Question: Marine vegetation is  harvested. True or False?
Answer:","[' True', ' False']",1
48,"He became a boxing referee in 1964 and became most well-known for his decision against Mike Tyson, during the Holyfield fight, when Tyson bit Holyfield's ear.
Question: Mike Tyson bit Holyfield's ear in 1964. True or False?
Answer:","[' True', ' False']",1
49,"The team drawing up Iraq's new constitution considered giving itself more time to write the document on Sunday, but still looked set to meet its mid-August deadline under intense U.S. pressure.
Question: On Sunday, officials argued about whether to seek a delay of the August deadline for completing the document in order to give them more time to hash out such sticky issues. True or False?
Answer:","[' True', ' False']",1
50,"He also referred to the ""illegal"" arrest on 31 May of Mexican Professor Maria Eugenia Ochoa Garcia, whom the Salvadoran government accused of having connections with the Salvadoran guerrillas.
Question: Professor Ochoa Garcia is a member of the Salvadoran government. True or False?
Answer:","[' True', ' False']",1
51,"Mount Redoubt, a volcano in Alaska, erupted on Saturday, sending out clouds of ash thousands of feet high. According to the Federal Aviation Administration, the Ted Stevens Anchorage International Airport was shut down after ash reached the airport. Jeremy Lindseth, a spokesman for the airport, said that only small amount of ash reached the airport, but was significant enough to disrupt operations, as ash can cause engine problems for aircraft. He said that he was uncertain of how many flights were affected due to the eruption.
Question: The Ted Stevens Anchorage International Airport is the employer of Jeremy Lindseth. True or False?
Answer:","[' True', ' False']",0
52,"FMLN reports to our people, and to the people of the world, that the massacre against the Salvadoran Workers National Union Federation [Fenastras] was carried out by Colonel Elena Fuente, as the head of the morbid death squad of the army's 1st Infantry Brigade, in response to our military attack on the army staff.
Question: Fenastras was attacked by FMLN. True or False?
Answer:","[' True', ' False']",1
53,"IBM stole trade secrets to copy two of its programs -- File-AID, a file manager, and Abend-AID, a program that helps users locate the source of glitches.
Question: Trade secrets were stolen. True or False?
Answer:","[' True', ' False']",0
54,"Nokia, Texas Instruments and other leading makers of mobile phones have formally complained to Brussels that Qualcomm, the US mobile chipmaker, has unfairly used its patents on 3G technologies.
Question: Texas Instruments produces mobile phones. True or False?
Answer:","[' True', ' False']",0
55,"Two British soldiers have been arrested in the southern Iraq city of Basra, sparking clashes outside a police station where they are being held.
Question: Two British tanks, sent to the police station where the soldiers are being held, were set alight in clashes. True or False?
Answer:","[' True', ' False']",1
