,prompt,classes,answer_index
0,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Classify the sentiment of this sentence as positive or negative: Michael loves running.
A: The sentiment of the above sentence is","[' positive', ' negative']",0
1,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Classify the sentiment of this sentence as positive or negative: Michael hates running.
A: The sentiment of the above sentence is","[' positive', ' negative']",1
2,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Classify the sentiment of this sentence as positive or negative: Michael loves running.
A: The sentiment of the sentence is","[' positive', ' negative']",0
3,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Classify the sentiment of this sentence as positive or negative: Michael hates running.
A: The sentiment of the sentence is","[' positive', ' negative']",1
4,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Is the following sentence positive or negative? Michael loves running.
A: The sentence is","[' positive', ' negative']",0
5,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Is the following sentence positive or negative? Michael hates running.
A: The sentence is","[' positive', ' negative']",1
6,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: What is the sentiment of this sentence? Michael loves running.
A: The sentiment of the sentence is","[' positive', ' negative']",0
7,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: What is the sentiment of this sentence? Michael hates running.
A: The sentiment of the sentence is","[' positive', ' negative']",1
8,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Is the sentiment of this sentence positive or negative? Michael loves running.
A: The sentence is","[' positive', ' negative']",0
9,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Is the sentiment of this sentence positive or negative? Michael hates running.
A: The sentence is","[' positive', ' negative']",1
10,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Classify the sentiment of this sentence as positive or negative: Michael loves being outside.
A: The sentiment of the above sentence is","[' positive', ' negative']",0
11,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Classify the sentiment of this sentence as positive or negative: Michael hates being outside.
A: The sentiment of the above sentence is","[' positive', ' negative']",1
12,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Classify the sentiment of this sentence as positive or negative: Michael loves being outside.
A: The sentiment of the sentence is","[' positive', ' negative']",0
13,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Classify the sentiment of this sentence as positive or negative: Michael hates being outside.
A: The sentiment of the sentence is","[' positive', ' negative']",1
14,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Is the following sentence positive or negative? Michael loves being outside.
A: The sentence is","[' positive', ' negative']",0
15,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Is the following sentence positive or negative? Michael hates being outside.
A: The sentence is","[' positive', ' negative']",1
16,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: What is the sentiment of this sentence? Michael loves being outside.
A: The sentiment of the sentence is","[' positive', ' negative']",0
17,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: What is the sentiment of this sentence? Michael hates being outside.
A: The sentiment of the sentence is","[' positive', ' negative']",1
18,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Is the sentiment of this sentence positive or negative? Michael loves being outside.
A: The sentence is","[' positive', ' negative']",0
19,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Is the sentiment of this sentence positive or negative? Michael hates being outside.
A: The sentence is","[' positive', ' negative']",1
20,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Classify the sentiment of this sentence as positive or negative: Michael loves music.
A: The sentiment of the above sentence is","[' positive', ' negative']",0
21,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Classify the sentiment of this sentence as positive or negative: Michael hates music.
A: The sentiment of the above sentence is","[' positive', ' negative']",1
22,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Classify the sentiment of this sentence as positive or negative: Michael loves music.
A: The sentiment of the sentence is","[' positive', ' negative']",0
23,"Q: Is the following sentence positive or negative? I really did not enjoy the film.
A: The sentiment is negative.

Q: Classify the sentiment of this sentence as positive or negative: Michael hates music.
A: The sentiment of the sentence is","[' positive', ' negative']",1
