,prompt,classes,answer_index
0,"Ernest Jones is a British jeweller and watchmaker. Established in 1949, its first store was opened in Oxford Street, London. Ernest Jones specialises in diamonds and watches, stocking brands such as Gucci and Emporio Armani. Ernest Jones is part of the Signet Jewelers group.
Question: The first Ernest Jones store was opened on the continent of Europe. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
1,"Old Trafford is a football stadium in Old Trafford, Greater Manchester, England, and the home of Manchester United. With a capacity of 75,643, it is the largest club football stadium in the United Kingdom, the second-largest football stadium, and the eleventh-largest in Europe. It is about 0.5 mi from Old Trafford Cricket Ground and the adjacent tram stop.
Question: There are only 10 larger football stadiums in Europe. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
2,"Magnus is a Belgian joint dance project of Tom Barman (from the rock band dEUS) and CJ Bolland. Magnus' debut album, ""The Body Gave You Everything"", was released on March 29, 2004. Two of its tracks, ""Summer's Here"" and ""Jumpneedle"", were released as singles.
Question: ""The body gave you everything"" album was not released on March 28, 2003 but on March 29, 2004. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
3,"Shadowboxer is a 2005 crime thriller film directed by Lee Daniels and starring Academy Award winners Cuba Gooding Jr., Helen Mirren, and Mo'Nique. It opened in limited release in six cities: New York, Los Angeles, Washington, D.C., Baltimore, Philadelphia, and Richmond, Virginia.
Question: Shadowboxer was written and directed by Lee Daniels and was starring Academy Award winners Cuba Gooding Jr., Helen Mirren, and Mo'Nique. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",2
4,"Takaaki Kajita (梶田 隆章 , Kajita Takaaki ) is a Japanese physicist, known for neutrino experiments at the Kamiokande and its successor, Super-Kamiokande. In 2015, he was awarded the Nobel Prize in Physics jointly with Canadian physicist Arthur B. McDonald.
Question: Arthur B. McDonald is a Japanese physicist, known for neutrino experiments at the Kamiokande and its successor, Super-Kamiokande. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
5,"Michael T. Scuse (born 1954) is an American public official. He was the acting United States Deputy Secretary of Agriculture, and, following the resignation of Tom Vilsack on January 13, 2017, was acting United States Secretary of Agriculture until Donald Trump took office as President. He also served as Under Secretary of Agriculture for Farm and Foreign Agricultural Services since 2012.
Question: The US Secretary of Agriculture is assigned Secret Service for protection purposes. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",2
6,"Edmond (or Edmund) Halley, FRS (pronounced ; 8 November [O.S. 29 October] 1656 – 25 January 1742 [O.S. 14 January 1741] ) was an English astronomer, geophysicist, mathematician, meteorologist, and physicist who is best known for computing the orbit of Halley's Comet. He was the second Astronomer Royal in Britain, succeeding John Flamsteed.
Question: Edmond Halley was born outside of the United Kingdom.  True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",2
7,"Javier Torres (born May 14, 1988 in Artesia, California) is an undefeated Mexican American professional boxer in the Heavyweight division. Torres was the second rated U.S. amateur boxer in the Super Heavyweight division and a member of the Mexican Olympic team.
Question: Javier was born in Mexico True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
8,"Camassia cusickii, common name Cussick's camas, is a species of plant in the Asparagaceae family (subfamily Agavoideae). It is native to parts of North America. It has linear leaves with parallel venation and flowers in parts of three. The flowers are usually ice blue or baby blue in color, although they can be various shades of blue, cream and white.
Question: Crussicks camas can be found all over the world True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",2
9,"""How Could I Want More"" is the debut single by American actress and singer Jamie Lynn Spears. The song was written by Spears and Rivers Rutherford, and was self-released (under the label name Sweet Jamie Music, Inc.) on November 25, 2013 as the lead single from Spears' debut EP, ""The Journey"".
Question: The title of Spears' debut EP was ""Journeys."" True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
10,"About to Crack is the fifth studio album by Dutch punk hardcore band Vitamin X. Released through Tankcrimes on September 11, 2012 in the US, Agipunk in Europe and Peculio Discos in Brazil. The album was recorded at Electrical Audio in Chicago by Steve Albini who previously recorded Nirvana, Neurosis, PJ Harvey, High on Fire, Iggy Pop & The Stooges. Art is by John Dyer Baizley.
Question: Vitamin X made four albums before About to Crack. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
11,"Dyllan McGee is a documentary filmmaker and founder of McGee Media. In partnership with Peter Kunhardt, McGee produced ""Gloria: In Her Own Words” (HBO), “Finding Your Roots with Henry Louis Gates, Jr.” (PBS), ""MAKERS: Women Who Make America” and many more. McGee is the Founder and Executive Producer of AOL’s MAKERS.
Question: D McGee is a filmmaker who founded their own company. They made many films, that were broadcast on many US networks.  True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
12,"The family of Macintosh operating systems developed by Apple Inc. includes the graphical user interface-based operating systems it has designed for use with its Macintosh series of personal computers since 1984, as well as the related system software it once created for compatible third-party systems.
Question: Macintosh is a business that owns Apple Inc. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
13,"Oksa is a village in Jędrzejów County, Świętokrzyskie Voivodeship, in south-central Poland. It is the seat of the gmina (administrative district) called Gmina Oksa. It lies approximately 18 km north-west of Jędrzejów and 41 km south-west of the regional capital Kielce. The village has an approximate population of 890.
Question: The population of Oksa is large True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
14,"Elizabeth Jane Watson (December 28, 1921 – February 21, 2016) was an American actress and singer known for her roles in musical theatre, especially Laurey in ""Oklahoma!"", creating the role in the London premiere. She also performed in nightclubs and on television, including as co-host of the game show ""Winner Take All"".
Question: Elizabeth Jane Watson is still alive. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
15,"The 2009–10 Tour de Ski was the 4th edition of the Tour de Ski and took place 1–10 January 2010. The race started in Oberhof, Germany, and ended in Val di Fiemme, Italy. The defending champions are Switzerland's Dario Cologna for the men and Finland's Virpi Kuitunen. This year's event was won by Lukáš Bauer of the Czech Republic for the men and Poland's Justyna Kowalczyk for the women.
Question: Dario Cologna won the 3rd edition of the Tour de Ski. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
16,"Miroslav Ondříček was born in Prague, Czechoslovakia (now Prague, Czech Republic). He studied filmmaking at the Barrandov Studio Training School and began making movies during the Czech New Wave. His first feature film work was on Miloš Forman's ""Talent Competition"". He continued his long working relationship with Forman in the US on such films as ""Hair"", ""Ragtime"" and ""Amadeus"".
Question: He was not born in the United States True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
17,"The Portland Timbers are an American professional soccer club based in Portland, Oregon. The Timbers compete in Major League Soccer (MLS) as a member club of the league's Western Conference.The Timbers play their home games at Providence Park since 2011 when the team began play as an expansion team in the league.
Question: The Portland Timbers won the MLS Championship in 2008. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
18,"Shaun Pye is an English actor, comedian, writer, critic, television producer, editor and journalist, known for co-creating the animated sketch comedy ""Monkey Dust"" with Harry Thompson, and for his role as Greg Lindley-Jones on Ricky Gervais's sitcom ""Extras"".
Question: Shaun Pye was a voice actor for the ""Monkey Dust"", an animated TV show he co-created. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",2
19,"Ladybug Ladybug is a 1963 American motion picture directed by Academy Award-nominated filmmaker Frank Perry. The film is a commentary on the psychological effects of the Cold War, the title deriving from the classic nursery rhyme. It was the motion picture debut of William Daniels, Estelle Parsons and Jane Connell.
Question: Ladybug Ladybug had debutante actors William Daniels, Estelle Parsons and Jane Connell starring in it. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
20,"Liar is the third album by Vancouver indie band Fake Shark – Real Zombie!. It was released on February 14, 2013. The album is a bit of direction change for the band, and the first with label, Light Organ Records. Guests include Care Failure of the band Die Mannequin, Jimmy Urine of Mindless Self Indulgence, Steve Bays of Hot Hot Heat, and Henry Rollins.
Question: Fake Shark had an album in 2015 True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",2
21,"The murder of Jamiel Shaw II occurred on March 2, 2008, in Arlington Heights, Los Angeles, California. Shaw, a 17-year-old Los Angeles High School football player, was shot by two Hispanic men while returning home from the Beverly Center. Shaw was taken to a hospital, where he later died.
Question: Shaw died at the scene of his murder in 2008. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
22,"Dewhurst v. Coulthard, 3 U.S. 409 (1799) , was a United States Supreme Court case that initiated with a civil suit brought by Isaac Coulthard (owner of Coulthard's Brewery) against John Dewhurst which reached the Court by a convoluted process. The Court refused to hear the case: ""T]his court will not take cognizance of any suit, or controversy not brought before them by regular process of law.""
Question: The US Supreme Court is the second highest court in the United States. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
23,"Prof Albert Abraham Michelson (surname pronunciation anglicized as ""Michael-son"") FFRS HFRSE LLD (December 19, 1852 – May 9, 1931) was an American physicist known for his work on measuring the speed of light and especially for the Michelson–Morley experiment. In 1907 he received the Nobel Prize in Physics, becoming the first American to win the Nobel Prize in a science.
Question: Prof Albert Abraham Michelson lived to be over 100 years old.  True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
24,"Aram is a 2002 French action film. It takes place in France between 1993 and 2001, wherein French-Armenian fighters supply arms to Nagorno-Karabakh and kill a visiting Turkish general. The film was released in 2002 in theatres in France, and made its American debut in 2004 at the Armenian Film Festival in San Francisco.
Question: In 2002, the Armenian Film Festival was held in San Francisco. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",2
25,"Some Girl(s) is a 2013 American comedy film directed by Daisy von Scherler Mayer and written by Neil LaBute. It is based on the play of the same name, also written by LaBute. The film stars Adam Brody, Kristen Bell, Zoe Kazan, Mía Maestro, Jennifer Morrison and Emily Watson. The film was released on June 26, 2013, by Leeden Media.
Question: The film stars five women and one man. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
26,"The 2001 NFL draft was the 66th annual meeting of National Football League (NFL) franchises to select newly eligible football players. The draft, which is officially referred to as the ""NFL Player Selection Meeting,"" was held at the Theater at Madison Square Garden in New York City, New York on April 21–22, 2001.
Question: The NFL draft is held once per year. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
27,"The diocese of Vannida (in Latin: Dioecesis Vannidensis) is a suppressed and titular See of the Roman Catholic Church. It was centered on the ancient Roman Town of Vannida, in what is today Algeria, is an ancient episcopal seat of the Roman province of Mauritania Cesariense.
Question: The diocese of Vannida is located in Europe True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",1
28,"The Age of Shadows (; lit. ""Emissary"") is a 2016 South Korean period action thriller film directed by Kim Jee-woon and written by Lee Ji-min and Park Jong-dae. The film stars Song Kang-ho and Gong Yoo. It was selected as the South Korean entry for the Best Foreign Language Film at the 89th Academy Awards but it was not nominated.
Question: The Age of Shadows was created in 2016 True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",0
29,"Daniel Zolnikov (born January 29, 1987) is a Republican member of the Montana Legislature. He was elected to House District 47 which represents Billings, Montana After redistricting, he now represents House District 45. He has made a name for himself pursuing pro-privacy legislation.
Question: There is no information indicating whether Daniel Zolnikov is a good legislator or not. True, False, or Neither?
Answer:","[' True', ' False', ' Neither']",2
